You are now connected to database "nc_games" as user "benjismith1990".
    owner     |                        title                         | review_id |    category     |                                        review_img_url                                        |       created_at        | votes |        designer        | count 
--------------+------------------------------------------------------+-----------+-----------------+----------------------------------------------------------------------------------------------+-------------------------+-------+------------------------+-------
 tickle122    | Kerplunk; Don't lose your marbles                    |        13 | dexterity       | https://images.pexels.com/photos/411207/pexels-photo-411207.jpeg?w=700&h=700                 | 2021-01-25 11:16:54.963 |     9 | Avery Wunzboogerz      |     3
 jessjelly    | Super Rhino Hero                                     |        10 | dexterity       | https://images.pexels.com/photos/4691579/pexels-photo-4691579.jpeg?w=700&h=700               | 2021-01-22 11:35:50.936 |     7 | Gamey McGameface       |     2
 jessjelly    | Scrobble, no that's not a typo                       |        15 | strategy        | https://images.pexels.com/photos/8205368/pexels-photo-8205368.jpeg?w=700&h=700               | 2021-01-22 11:35:05.936 |     1 | Word Smith             |     2
 weegembump   | Ticket To Ride                                       |        16 | deck-building   | https://images.pexels.com/photos/4691567/pexels-photo-4691567.jpeg?w=700&h=700               | 2021-01-22 11:05:05.936 |     1 | Alan R. Moon           |     7
 grumpy19     | Scythe; you're gonna need a bigger table!            |         8 | engine-building | https://images.pexels.com/photos/4200740/pexels-photo-4200740.jpeg?w=700&h=700               | 2021-01-22 10:37:04.839 |   100 | Jamey Stegmaier        |     1
 jessjelly    | Escape The Dark Sector                               |        24 | push-your-luck  | https://images.pexels.com/photos/3910141/pexels-photo-3910141.jpeg?w=700&h=700               | 2021-01-18 10:09:05.61  |    11 | Alex Crispin,          |     5
 jessjelly    | Escape The Dark Castle                               |        23 | push-your-luck  | https://images.pexels.com/photos/5439508/pexels-photo-5439508.jpeg?w=700&h=700               | 2021-01-18 10:09:05.41  |    18 | Alex Crispin,          |     2
 happyamy2016 | Karma Karma Chameleon                                |         3 | hidden-roles    | https://images.pexels.com/photos/45868/chameleon-reptile-lizard-green-45868.jpeg?w=700&h=700 | 2021-01-18 10:01:42.151 |     5 | Rikki Tahta            |     5
 cooljmessy   | Build you own tour de Yorkshire                      |         6 | deck-building   | https://images.pexels.com/photos/258045/pexels-photo-258045.jpeg?w=700&h=700                 | 2021-01-18 10:01:41.251 |    10 | Asger Harding Granerud |     2
 happyamy2016 | That's just what an evil person would say!           |         7 | hidden-roles    | https://images.pexels.com/photos/220057/pexels-photo-220057.jpeg?w=700&h=700                 | 2021-01-18 10:01:41.251 |     8 | Fiona Lohoar           |     2
 happyamy2016 | One Night Ultimate Werewolf                          |         4 | hidden-roles    | https://images.pexels.com/photos/5350049/pexels-photo-5350049.jpeg?w=700&h=700               | 2021-01-18 10:01:41.251 |     5 | Akihisa Okui           |     4
 happyamy2016 | A truly Quacking Game; Quacks of Quedlinburg         |         5 | push-your-luck  | https://images.pexels.com/photos/279321/pexels-photo-279321.jpeg?w=700&h=700                 | 2021-01-18 10:01:41.251 |    10 | Wolfgang Warsch        |     1
 grumpy19     | JengARRGGGH!                                         |         2 | dexterity       | https://images.pexels.com/photos/4473494/pexels-photo-4473494.jpeg?w=700&h=700               | 2021-01-18 10:01:41.251 |     5 | Leslie Scott           |     3
 tickle122    | Culture a Love of Agriculture With Agricola          |         1 | strategy        | https://images.pexels.com/photos/974314/pexels-photo-974314.jpeg?w=700&h=700                 | 2021-01-18 10:00:20.514 |     1 | Uwe Rosenberg          |     3
 happyamy2016 | Twister                                              |        19 | roll-and-write  | https://images.pexels.com/photos/6630813/pexels-photo-6630813.jpeg?w=700&h=700               | 2020-09-13 15:19:28.077 |     8 | Chuck Foley            |     2
 happyamy2016 | Occaecat consequat officia in quis commodo.          |        12 | roll-and-write  | https://images.pexels.com/photos/6333934/pexels-photo-6333934.jpeg?w=700&h=700               | 2020-09-13 15:19:28.077 |     8 | Ollie Tabooger         |     1
 happyamy2016 | Ganz Schon Clever                                    |        21 | roll-and-write  | https://images.pexels.com/photos/516114/pexels-photo-516114.jpeg?w=700&h=700                 | 2020-09-13 15:19:28.077 |     8 | Wolfgang Warsch        |     2
 grumpy19     | Yahtzee                                              |        22 | roll-and-write  | https://images.pexels.com/photos/3956552/pexels-photo-3956552.jpeg?w=700&h=700               | 2020-09-13 15:19:20.077 |    18 | Edwin S. Lowe          |     3
 grumpy19     | Monopoly                                             |        20 | strategy        | https://images.pexels.com/photos/4792379/pexels-photo-4792379.jpeg?w=700&h=700               | 2020-09-13 15:14:20.877 |     3 | Uncredited             |     2
 tickle122    | Settlers of Catan: Don't Settle For Less             |         9 | strategy        | https://images.pexels.com/photos/1153929/pexels-photo-1153929.jpeg?w=700&h=700               | 1970-01-10 03:08:38.4   |    16 | Klaus Teuber           |     2
 tickle122    | Reef                                                 |        18 | strategy        | https://images.pexels.com/photos/6333894/pexels-photo-6333894.jpeg?w=700&h=700               | 1970-01-10 02:56:38.4   |     6 | Emerson Matsuuchi      |     4
 tickle122    | Nova Luna; Freak out in a moonage daydream, oh yeah! |        17 | strategy        | https://images.pexels.com/photos/279321/pexels-photo-279321.jpeg?w=700&h=700                 | 1970-01-10 02:56:38.4   |     6 | Uwe Rosenburg          |     3
(22 rows)

